date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:48:34	54745/54745	---M--	200	added ('OK')	application/octet-stream	etag:0x8DA291921F56D1D	http://mindtechlive.blob.core.windows.net/assets/images/AffiliateGallery/-1594160-71310856.jpg	C:/My%20Web%20Sites/medapp/mindtechlive.blob.core.windows.net/assets/images/AffiliateGallery/-1594160-71310856.jpg	(from http://drmadhurahomoeoclinic.com/Gallery)
11:48:34	103/103	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2013%20Sep%202022%2006:18:35%20GMT	http://drmadhurahomoeoclinic.com/Assets/vendor/isotope-layout/isotope.pkgd.min.js	C:/My%20Web%20Sites/medapp/drmadhurahomoeoclinic.com/Assets/vendor/isotope-layout/isotope.pkgd.min.4a.delayed	(from http://drmadhurahomoeoclinic.com/Gallery)
11:48:35	5815/5815	---M-Z	200	added ('OK')	application/javascript	etag:%22c0307f462ef6d61:0%22	http://drmadhurahomoeoclinic.com/js/gallery.js	C:/My%20Web%20Sites/medapp/drmadhurahomoeoclinic.com/js/gallery.js	(from http://drmadhurahomoeoclinic.com/Gallery)
11:48:36	103/103	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2013%20Sep%202022%2006:18:36%20GMT	http://drmadhurahomoeoclinic.com/Assets/vendor/icofont/icofont.min.css	C:/My%20Web%20Sites/medapp/drmadhurahomoeoclinic.com/Assets/vendor/icofont/icofont.min.4c.delayed	(from http://drmadhurahomoeoclinic.com/Gallery)
11:48:36	103/103	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2013%20Sep%202022%2006:18:36%20GMT	http://drmadhurahomoeoclinic.com/Assets/vendor/boxicons/css/boxicons.min.css	C:/My%20Web%20Sites/medapp/drmadhurahomoeoclinic.com/Assets/vendor/boxicons/css/boxicons.min.4d.delayed	(from http://drmadhurahomoeoclinic.com/Gallery)
11:48:36	73186/73186	---M--	200	added ('OK')	application/octet-stream	etag:0x8DA2918BF4D6FFE	http://mindtechlive.blob.core.windows.net/assets/images/AffiliateGallery/-1594160-21370750.jpg	C:/My%20Web%20Sites/medapp/mindtechlive.blob.core.windows.net/assets/images/AffiliateGallery/-1594160-21370750.jpg	(from http://drmadhurahomoeoclinic.com/Gallery)
11:48:36	103/103	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2013%20Sep%202022%2006:18:36%20GMT	http://drmadhurahomoeoclinic.com/Assets/vendor/remixicon/remixicon.css	C:/My%20Web%20Sites/medapp/drmadhurahomoeoclinic.com/Assets/vendor/remixicon/remixicon.4e.delayed	(from http://drmadhurahomoeoclinic.com/Gallery)
11:48:37	103/103	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2013%20Sep%202022%2006:18:37%20GMT	http://drmadhurahomoeoclinic.com/Assets/vendor/owl.carousel/owl.carousel.min.js	C:/My%20Web%20Sites/medapp/drmadhurahomoeoclinic.com/Assets/vendor/owl.carousel/owl.carousel.min.4f.delayed	(from http://drmadhurahomoeoclinic.com/Gallery)
11:48:37	6636/6636	---M-Z	200	added ('OK')	text/css	etag:%2220f4f496b832d71:0%22	http://drmadhurahomoeoclinic.com/css/Gallerycss.css	C:/My%20Web%20Sites/medapp/drmadhurahomoeoclinic.com/css/Gallerycss.css	(from http://drmadhurahomoeoclinic.com/Gallery)
11:48:37	103/103	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2013%20Sep%202022%2006:18:37%20GMT	http://drmadhurahomoeoclinic.com/drmadhurahomoeoclinic.com	C:/My%20Web%20Sites/medapp/drmadhurahomoeoclinic.com/drmadhurahomoeoclinic.51.delayed	(from http://drmadhurahomoeoclinic.com/Contact)
